SPAR MARKITING LPO DATA ,,,,,,,,,,,,,,,,,,,,,,,
NO,,LPO Number ,company name ,Qutation numbr,finance ,Receved  ,invoice ,date ,receved  ,refrance number ,Items,Tawar ,03 mall ,Bsquare mall ,Almana ,Porto ,QQ,aljazzera ,head Office ,All Stores,Others,,
286,,4919,Best Occasion ,148,Helvin,14/03/2024,,Helvin,,286-Best Occasion 4919-148-Helvin45365,Kids Event (Face Penting / Speaker ),,,,,650,,,,,,,
287,,4920,Best Occasion ,150,Helvin,14/03/2024,,Helvin,,287-Best Occasion 4920-150-Helvin45365,Kids Event (Face Penting),,450,,,,,,,,,,
288,,4921,Margins,MTS - 2024 - 0116,Helvin,14/03/2024,,Helvin,,288-Margins4921-MTS - 2024 - 0116-Helvin45365,WhatsApp QR Code,,,,,,,,,2000,,,
289,,4922,Margins,MTS - 2024 - 0118,Helvin,21/03/2024,,Helvin,,289-Margins4922-MTS - 2024 - 0118-Helvin45372,Printing of matt sticker with matt lamination and installation,,,,2415,,,,,,,,
290,,4923,Margins,MTS - 2024 - 0127,Helvin,16/04/2024,,Helvin,,290-Margins4923-MTS - 2024 - 0127-Helvin45398,TAG A4 Offer Paper 21.00 X 29.70,,,,,,,,,2160,,,
291,,4924,Margins,MTS - 2024 - 0126,Helvin,18/04/2024,,Helvin,,291-Margins4924-MTS - 2024 - 0126-Helvin45400,SPAR IFTAR PARTY / Fresh Fruit Printing ,540,,,,,,,,,,,
292,,4925,SPOT Media ,70776/118,Helvin,18/04/2024,,Helvin,,292-SPOT Media 4925-70776/118-Helvin45400,Kill The Price Branding,1241,,,,,,,,,,,
293,,4926,SPOT Media ,70792/118,Helvin,22/04/2024,,Helvin,,293-SPOT Media 4926-70792/118-Helvin45404,DIVIDER,,1350,,,,,,,,,,
294,,4927,SPOT Media ,70798/118,Helvin,24/04/2024,,Helvin,,294-SPOT Media 4927-70798/118-Helvin45406,DANGLERS/BASE STICKER/ARROW/STAND STICKER,734,,,,,,,,,,,
295,,4986,Margins,MTS - 2024 - 0136,Helvin,27/04/2024,,Helvin,,295-Margins4986-MTS - 2024 - 0136-Helvin45409,Manufacturing of podium,2100,,,,,,,,,,,
296,,4987,SIGNPLUS,QTN2304202403,Helvin,23/04/2024,,Helvin,,296-SIGNPLUS4987-QTN2304202403-Helvin45405,PRICE HANGING ROD,3700,,,,,,,,,,,
297,,4988,CITY MEDIA ,QT 0099,Helvin,24/04/2024,,Helvin,,297-CITY MEDIA 4988-QT 0099-Helvin45406,DIGITAL PRINTING ON PVC BANNER FOR SPECIAL OFFER,"4,104",,,,,,,,,,,
298,,4989,Al waraq,EST/101148-R1,Helvin,13/05/2024,,Helvin,,298-Al waraq4989-EST/101148-R1-Helvin45425,VOUCHER - 100 Sheets 10%  ( 100qar ),,,,,,,,,2000,,,
299,,4990,CITY MEDIA ,QT 0102,Helvin,05/04/2024,,Helvin,,299-CITY MEDIA 4990-QT 0102-Helvin45387,PRINTING ON PVC BANNER FOR VEGETABLE SECTION,,550,,,,,,220,,,,
300,,4991,SIGNPLUS,QTN2304202403,Helvin,23/04/2024,,Helvin,,300-SIGNPLUS4991-QTN2304202403-Helvin45405,PRICE HANGING ROD,1300,,,,,,,,,,,
301,,4992,SIGNPLUS,QTN1205202403,Helvin,12/05/2024,,Helvin,,301-SIGNPLUS4992-QTN1205202403-Helvin45424,3D LOGO (OUTDOOR),,,,,,1500,,,,,,
302,,4993,Al waraq,"EST/101455,EST/101409",Helvin,22/05/2024,,Helvin,,"302-Al waraq4993-EST/101455,EST/101409-Helvin5/22/2024",SPAR DOOR HANGER-(Sparoo Express Delivery) PRINT TOGETHER,,,,675,675,675,675,,,,,
303,,4994,PRO 8,191/2024,Helvin,24/05/2024,,Helvin,,303-PRO 84994-191/2024-Helvin45436,Short video reel size,1000,,,,,,,,,,,
304,,4995,TALWEEN ADVERTISING,24 - 273,Helvin,05/06/2024,,Helvin,,304-TALWEEN ADVERTISING4995-24 - 273-Helvin45448,Forex Sticker Lamb Eid AL Adha,416.5,333.5,,,,,,,,,,
305,,5018,TALWEEN ADVERTISING,24 - 271,Helvin,02/06/2024,,Helvin,,305-TALWEEN ADVERTISING5018-24 - 271-Helvin45445,CAHIER STAND RED ACRYLIC WITH 3 SIDES UV PRINTED,,,,,,,,,625,,,
306,,5019,WOW GIFTS DOHA,1309,Helvin,12/06/2024,,Helvin,,306-WOW GIFTS DOHA5019-1309-Helvin45455,EID AL ADHA Kids Event  at SPAR 03 17/06/2024,,1800,,,,,,,,,,
307,,5020,Margins,MTS - 2024 - 0169,Helvin,06/06/2024,,Helvin,,307-Margins5020-MTS - 2024 - 0169-Helvin45449,Foamboard Printing Online Delivery,380,,,,,,,,,,,
308,,5021,Best Occasion ,R113,Helvin,22/06/2024,,Helvin,,308-Best Occasion 5021-R113-Helvin45456,Face painting-Henna lady-Balloonman in clown costume-Mascots-Speaker,2800,1900,,,,,,,,,,
309,,5022,SIGNPLUS,QTN2206202403,Helvin,22/06/2024,,Helvin,,309-SIGNPLUS5022-QTN2206202403-Helvin45465,PRICE HANGING ROD For SPAR 03 Mall,,3000,,,,,,,,,,
310,,5080,Al waraq,"EST/101455,EST/101409-R1",Helvin,24/06/2024,,Helvin,,"310-Al waraq5080-EST/101455,EST/101409-R1-Helvin45467",SPAR DOOR HANGER-(Sparoo Express Delivery) PRINT TOGETHER,,,,675,675,675,675,,,,,
311,,5081,SPOT Media ,71062/118,Helvin,23/06/2024,,Helvin,,311-SPOT Media 5081-71062/118-Helvin45466,DIVIDER /BUTCHERY STAND BRANDING,1472,,,,,,,,,,,
312,,5082,Margins,MTS - 2024 - 0170,Helvin,24/06/2024,,Helvin,,312-Margins5082-MTS - 2024 - 0170-Helvin45467,Printing Of Label Sticker 6cm Diameter Matt Sticker ,1925,,,,,,,,,,,
313,,5083,Margins,MTS - 2024 - 0171,Helvin,24/06/2024,,Helvin,,313-Margins5083-MTS - 2024 - 0171-Helvin45467,Meeting Room Branding,5000,,,,,,,,,,,
314,,5084,BRQIA INTERNET SERVICES,BRQ000026062024,Helvin,26/06/2024,,Helvin,,314-BRQIA INTERNET SERVICES5084-BRQ000026062024-Helvin45469,BUSINESS SMS SERVICES,,,,,,,,,4000,,,
315,,5085,SPOT Media ,71075/118,Helvin,24/06/2024,,Helvin,,315-SPOT Media 5085-71075/118-Helvin45467,WOBBLERS,,,,,,,,,2750,,,
316,,5110,SPOT Media ,71088/118,Helvin,24/06/2024,,Helvin,,316-SPOT Media 5110-71088/118-Helvin45467,,,,,,,,,,,,,
317,,5111,SPOT Media ,71092/118,Helvin,27/06/2024,,Helvin,,317-SPOT Media 5111-71092/118-Helvin45470,,,,,,,,,,,,,
318,,5112,Margins,MTS - 2024 - 0172,Helvin,04/07/2024,,Helvin,,318-Margins5112-MTS - 2024 - 0172-Helvin45477,Printing of Freezer Sticker / Foam Board for Buchery,770,,,,,,,,,,,
319,,5113,Royal Glamour Events,69,Helvin,30/06/2024,,Helvin,,319-Royal Glamour Events5113-69-Helvin45473,"Creation of one Reel with Australian
Influencer: Rachel Morris",4000,,,,,,,,,,,
320,,5114,Margins,MTS - 2024 - 0174,Helvin,04/07/2024,,Helvin,,320-Margins5114-MTS - 2024 - 0174-Helvin45477,Tawar Mall Meeting Room with Installation,900,1750,,,,,,,,,,
321,,5115,Margins,MTS - 2024 - 0177,Helvin,16/07/2024,,Helvin,,321-Margins5115-MTS - 2024 - 0177-Helvin45489,Printing of ( Buy 2 get 1 free Tag),,,,,,,,,800,,,
322,,5116,Margins,MTS - 2024 - 0180,Helvin,23/07/2024,,Helvin,,322-Margins5116-MTS - 2024 - 0180-Helvin45496,Printing of Dangler Banner,570,570,,,,,,,,,,
323,,5117,Margins,MTS - 2024 - 0181,Helvin,23/07/2024,,Helvin,,323-Margins5117-MTS - 2024 - 0181-Helvin45496,Supply of promotional stable with branding,,,,,,,,,1800,,,
324,,5118,CITY MEDIA ,QT 0155,Helvin,03/08/2024,,Helvin,,324-CITY MEDIA 5118-QT 0155-Helvin45507,DIGITAL PRINTING ON PVC BANNER FOR SPECIAL OFFER,2304,,,,,,,,,,,
325,,5119,Margins,MTS - 2024 - 0199,Helvin,13/08/2024,,Helvin,,325-Margins5119-MTS - 2024 - 0199-Helvin45517,Supply of promotional stable with branding,900,900,,,,,,,,,,
326,,5159,Margins,MTS - 2024 - 0200,Helvin,13/08/2024,,Helvin,,326-Margins5159-MTS - 2024 - 0200-Helvin45517,Branding of Vegetable Scale counter,"1,580",,,,,,,,,,,
327,,5160,Margins,MTS - 2024 - 0203,Helvin,15/08/2024,,Helvin,,327-Margins5160-MTS - 2024 - 0203-Helvin45519,Printing of coloring shee,650,,,,,,,,,,,
328,,5161,Margins,MTS - 2024 - 0205,Helvin,18/08/2024,,Helvin,,328-Margins5161-MTS - 2024 - 0205-Helvin45522,Printing of sticker mounted on foam board 10mm back to,200,,,,,,,,,,,
329,,5162,Margins,MTS - 2024 - 0209,Helvin,26/08/2024,,Helvin,,329-Margins5162-MTS - 2024 - 0209-Helvin45530,Floor sticker with floor lamination,520,,,,,,,,,,,
330,,5163,Margins, MTS - 2024 - 0214,Helvin,27/08/2024,,Helvin,,330-Margins5163- MTS - 2024 - 0214-Helvin45531,Installation Fees,500,,,,,,,,,,,
331,,5164,Margins,MTS - 2024 - 0208,Helvin,21/08/2024,,Helvin,,331-Margins5164-MTS - 2024 - 0208-Helvin45525,Sticker foam board  For Vegetable Tables,1250,,,,,,,,,,,
332,,5165,Margins,MTS-2024-0234,Helvin,18/09/2024,,Helvin,,332-Margins5165-MTS-2024-0234-Helvin45553, black sticker on fridge full,250,,,,,,,,,,,
333,,5166,Margins,MTS-2024-0249,Helvin,28/09/2024,,Helvin,,333-Margins5166-MTS-2024-0249-Helvin45563,Stand Foam Board South African Heritage Day/Printing of Center Piece,2045,,,,,,,,,,,
334,,5167,Orizon Production Studio,1909,Helvin,21/09/2024,,Helvin,,334-Orizon Production Studio5167-1909-Helvin45556, Videos for South African Campain,2500,,,,,,,,,,,
335,,5168,Margins,MTS-2024-0245,Helvin,28/09/2024,,Helvin,,335-Margins5168-MTS-2024-0245-Helvin45563,Flags -Printing- Banner ,3220,,,,,,,,,,,
336,,5242,Margins,MTS-2024-0246,Helvin,26/09/2024,,Helvin,,336-Margins5242-MTS-2024-0246-Helvin45561,Free Stand Foam BoardB-Square Mall,,,400,,,,,,,,,
337,,5243,Margins,MTS-2024-0244,Helvin,26/09/2024,,Helvin,,337-Margins5243-MTS-2024-0244-Helvin45561,South African Heritage Day Printing of Wrest Band,1275,,,,,,,,,,,
338,,5244,TOP PRINTERS,Q24-AS-106-R0,Helvin,10/10/2024,,Helvin,,338-TOP PRINTERS5244-Q24-AS-106-R0-Helvin45575,Artmatt 100 gsm - A4 Size,1000,,,,,,,,,,,
339,,5245,SPOT Media ,71875/118,Helvin,09-Oct,,Helvin,,339-SPOT Media 5245-71875/118-Helvin45574,STICKER&DIVIDER&DIVIDER,2800,,,,,,,,,,,
340,,5246,CITY MEDIA ,QT 0190,Helvin,12-Oct,,Helvin,,340-CITY MEDIA 5246-QT 0190-Helvin45577,"PRINTING DANGLER FOR PROMOTION/
PRINTING ON BANNER FOR PROMO PRINTING DANGLER/
PRINTING SHELF TALKER",1850,,,,,,,,,,,
341,,5267,BRQIA INTERNET SERVICES,BRQ000013102024,Helvin,13-Oct,,Helvin,,341-BRQIA INTERNET SERVICES5267-BRQIA INTERNET SERVICES-Helvin45578,BUSINESS SMS SERVICES,4000,,,,,,,,,,,
342,,5268,DEEP Event & Prodution,83,Helvin,03-Nov,,Helvin,,342-DEEP Event & Prodution5268-83-Helvin45599,Recording 10 videos for the competition & 3 Highilts Video,,,,,,,,,11000,,,
343,,5269,SPOT Media ,72094/118,Helvin,06-Nov,,Helvin,,343-SPOT Media 5269-72094/118-Helvin45602,DIVIDER for Bakery SA&Philpino,405,,,,,,,,,,,
344,,5270,al sharq ,109,Helvin,30-Oct,,Helvin,,344-al sharq 5270-109-Helvin45595,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,3500,,,
345,,5271,Margins,MTS-2024-0324Rev.1,Helvin,09/11/2024,,Helvin,,345-Margins5271-MTS-2024-0324Rev.1-Helvin45605,Printing Danglers For Shopping festival & SPAR Anniversary 7th,,,,,,,,,3960,,,
346,,5295,Margins,MTS-2024-0358,Helvin,11/11/2024,,Helvin,,346-Margins5295-MTS-2024-0358-Helvin45607,AL Mana Exterior Branding Sticker,,,,4784,,,,,,,,
347,,5296,al sharq ,110,Helvin,13/11/2024,,Helvin,,347-al sharq 5296-110-Helvin45609,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,4900,,,
348,,5297,TOP PRINTERS,Q24-CC-134-R0,Helvin,18/11/2024,,Helvin,,348-TOP PRINTERS5297-Q24-CC-134-R0-Helvin45614,Printing Price tag Size - A4 for SPAR Anniversary 7,,,,,,,,,900,,,
349,,5298,Al waraq,EST/101455-R1,Helvin,18/11/2024,,Helvin,,349-Al waraq5298-EST/101455-R1-Helvin45614,Printing SPAR DOOR HANGER-(Sparoo Express Delivery),,,,462.5,462.5,462.5,462.5,,,,,
350,,5299,Margins,MTS-2024-0376,Helvin,19/11/2024,,Helvin,,350-Margins5299-MTS-2024-0376-Helvin45615,Printing of Trolley Card,1000,,,,,,,,,,,
351,,5307,Al waraq,EST/101455-R1,Helvin,20/11/2024,,Helvin,,351-Al waraq5307-EST/101455-R1-Helvin45616,Leaflet print ,,,,,,,,,1100,,,
352,,5308,al sharq ,180,Helvin,28/11/2024,,Helvin,,352-al sharq 5308-180-Helvin45624,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,3500,,,
353,,5309,SPOT Media ,72310/118,Helvin,26/11/2024,,Helvin,,353-SPOT Media 5309-72310/118-Helvin45622,SPIN WHEEL  Size : 150cm Wheel: Size : 80cm Dia,1950,,,,,,,,,,,
354,,5310,CITY MEDIA ,QT 0197,Helvin,28/11/2024,,Helvin,,354-CITY MEDIA 5310-QT 0197-Helvin45624,DIGITAL PRINTING ON PVC BANNER FOR SPECIAL OFFER,"1,239.50",1239.5,,,,,,,,,,
355,,5311,CITY MEDIA ,QT 0196,Helvin,02/12/2024,,Helvin,,355-CITY MEDIA 5311-QT 0196-Helvin45628,Printing Super Tuesday  DANGLER + Chilled Bakery ,1165,,,,,,,,,,,
356,,5330,GULF Publishing,578,Helvin,03/12/2024,,Helvin,,356-GULF Publishing5330-578-Helvin45629,Visit SPAR International to SPAR Qatar,,,,,,,,,2500,,,
357,,5331,SPOT Media ,72346/118,Helvin,05/12/2024,,Helvin,,357-SPOT Media 5331-72346/118-Helvin45631,Printing VOUCHERs for HMR,432,,,,,,,,,,,
358,,5332,CITY MEDIA ,QT 0202,Helvin,05/12/2024,,Helvin,,358-CITY MEDIA 5332-QT 0202-Helvin45631,"DIVIDER Tunesian & Korean, Indian  90cmX20cm Products",450,,,,,,,,,,,
359,,5333,al sharq ,185,Helvin,11/12/2024,,Helvin,,359-al sharq 5333-185-Helvin45637,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,3500,,,
360,,5334,Margins,MTS-2024-0427,Helvin,23/12/2024,,Helvin,,360-Margins5334-MTS-2024-0427-Helvin45649,Printing Banner 100K - Installation and removal of Spar flags - Printing of Cheque 100K,1280,,,,,,,,,,,
361,,5363,Margins,MTS-2024-0440Rev.1,Helvin,02/01/2025,,Helvin,,361-Margins5363-MTS-2024-0440Rev.1-Helvin45659,TAG Price A4 Paper Printing,,,,,,,,,1850,,,
362,,5364,Margins,MTS-2025-0012,Helvin,09/01/2025,,Helvin,,362-Margins5364-MTS-2025-0012-Helvin45666,TAG Price A4 Paper Printing Green + Card,1850,,,,,,,,,,,
363,,5365,Margins,MTS-2025-0019Rev.1,Helvin,16/01/2025,,Helvin,,363-Margins5365-MTS-2025-0019Rev.1-Helvin45673,Installation and removal of Spar flags at sustainability week,,,,,,,,,500,,,
364,,5366,Al waraq,"EST/101455,EST/101409-R2",shazni ,02/02/2025,,shazni ,,"364-Al waraq5366-EST/101455,EST/101409-R2-shazni 45690",Printing SPAR DOOR HANGER-(Sparoo Express Delivery),,,,675,675,675,675,,,,,
365,,5367,SPOT Media ,72788/118,shazni ,16/02/2025,,shazni ,,365-SPOT Media 5367-72788/118-shazni 45704,STICKER REMOVAL External Galss: PORT ARABIA,,,,,450,,,,,,,
366,,5434,Al waraq,EST/110871,shazni ,18/02/2025,,shazni ,,366-Al waraq5434-EST/110871-shazni 45706,SPAR Ramadan COLORING BOOK ,,,,,,,,,2155,,,
367,,5435,Margins,MTS-2025-0057,shazni ,23/02/2025,,shazni ,,367-Margins5435-MTS-2025-0057-shazni 45711,Branding for Ramadan 2025,,,,,,,,,7900,,,
368,,5436,Margins,MTS-2025-0048,shazni ,23/02/2025,,shazni ,,368-Margins5436-MTS-2025-0048-shazni 45711,Branding for Qatari Products 2025,,,,,,,,,2400,,,
369,,5437,Al waraq,"EST/111216,EST/111214,EST/111212",Helvin,25/02/2025,,Helvin,,"369-Al waraq5437-EST/111216,EST/111214,EST/111212-Helvin45713",SPAR RAMADAN Voucher QATAR Charity,,,,,,,,,2600,,,
370,,5438,SPOT Media ,72694/118,Helvin,20/01/2025,,Helvin,,370-SPOT Media 5438-72694/118-Helvin45677,HANGING ACRYLIC,,2970,,,,,,,,,,
371,,5439,SPOT Media ,72843/118,Helvin,15/02/2025,,Helvin,,371-SPOT Media 5439-72843/118-Helvin45703,SHELF CHECK OUT MACHINE BRANDING ( HMR ),180,,,,,,,,,,,
372,,5440,Margins,MTS-2025-0061,Helvin,24/02/2025,,Helvin,,372-Margins5440-MTS-2025-0061-Helvin45712,Printing for Qatari Products ,,,,,,,,,2750,,,
373,,5441,Margins,MTS-2025-0069,Helvin,26/02/2025,,Helvin,, 373-Margins5441-MTS-2025-0069-Helvin45714,Ramadan Character,2100,,,,,,,,,2140,,
374,,5442,Margins,MTS-2025-0074,Helvin,02/03/2025,,Helvin,,374-Margins5442-MTS-2025-0074-Helvin45718,Installation and removal of Spar flags at Pearl,,,,,,,,,,,,
375,,5443,CITY MEDIA ,QT 0241,Helvin,08/03/2025,,Helvin,,375-CITY MEDIA 5443-QT 0241-Helvin45724,Branding for Ramadan 2025,3559,,,,,,,,,,,
376,,5477,D4D, QT24-001054,Helvin,18/02/2025,,Helvin,,376-D4D5477- QT24-001054-Helvin45706,Distribution of flyer,1700,1700,,,,,,,,,,
377,,5478,Margins,MTS-2025-0079Rev.2,Helvin,10/03/2025,,Helvin,,377-Margins5478-MTS-2025-0079Rev.2-Helvin45726,TAG Price A4 Paper Printing Red- Green + SPAROO  03 Card,1400,800,,,,,,,,,,
378,,5479,Best Occasion ,1028,Helvin,25-Feb,,Helvin,,378-Best Occasion 5479-1028-Helvin45713,Tamr Hendi Character,3400,,,,,,,,,,,
379,,5480,Best Occasion ,1025,Helvin,25/02/2025,,Helvin,,379-Best Occasion 5480-1025-Helvin45713,"Design Ramadan Sado branding+ Tamr Hendi Character
+ Coffee Character",9800,,,,,,,,,,,
380,,5481,DEEP Event & Prodution,83-060325-spr,Helvin,19/03/2025,,Helvin,,380-DEEP Event & Prodution5481-83-060325-spr-Helvin45735,Producing videos for Ramadan 2025,9650,,,,,,,,,,,
381,,5492,DEEP Event & Prodution,83-022325-spr_Qut,Helvin,26/03/2025,,Helvin,,381-DEEP Event & Prodution5492-83-022325-spr_Qut-Helvin45742,"Abu Sultan Presenter of The Program ""Win With SPAR""",7000,3000,,,,,,,,,,
382,,5493,Perfect Media,251032,Helvin,26/03/2025,,Helvin,,382-Perfect Media5493-251032-Helvin45742,Peinting Flyers Ramadan A4 size,9590,,,,,,,,,,,
383,,5494,Margins,MTS-2025-0099Rev.1,Helvin,02/04/2025,,Helvin,,383-Margins5494-MTS-2025-0099Rev.1-Helvin45749,Sticker with foam board with stand / A4 tag price Printing,2800,,,,800,,,,,,,
384,,5495,D4D,QT24-001078,Helvin,06/04/2025,,Helvin,,384-D4D5495-QT24-001078-Helvin45753,Distribution of flyer,5100,5100,,,,,,,,,,
385,,5496,Al waraq,EST/112722,Helvin,15/04/2025,,Helvin,,385-Al waraq5496-EST/112722-Helvin45762,SPAR 03 DOOR HANGER ,,1280,,,,,,,,,,
386,,5497,SPOT Media ,73466/118,Helvin,16/04/2025,,Helvin,,386-SPOT Media 5497-73466/118-Helvin45763,DIVIDER: SANDWICH CORNER ,760,,,,,,,,,,,
387,,5498,D4D,QT24-001092,Helvin,27/04/2025,,Helvin,,387-D4D5498-QT24-001092-Helvin45774,Distribution of flyer,5100,5100,,,,,,,,,,
388,,5499,Margins,MTS-2025-0126,Helvin,27/04/2025,,Helvin,,388-Margins5499-MTS-2025-0126-Helvin45774,Branding of bike ( SPAROO ),,,,,2600,,,,,,,
389,,5500,Al waraq,"EST/113390,EST/113379",Helvin,01/05/2025,,Helvin,,"389-Al waraq5500-EST/113390,EST/113379-Helvin45778",Sparoo Express delivery card /  DOOR HANGER,1800,1800,,,,,,,,,,
390,,5501,Perfect Media,251526,Helvin,08/05/2025,,Helvin,,390-Perfect Media5501-251526-Helvin45785,Preinting Flyers A4 size,4400,4400,,,,,,,,,,
391,,5563,SPOT Media ,73637/118,Helvin,14/05/2025,,Helvin,,391-SPOT Media 5563-73637/118-Helvin45791,Cleaning existing glue for External Glass SPAR AL MANA,,,,1338,,,,,,,,
392,,5564,AL MAHBRAH,S03571,Helvin,26/02/2025,,Helvin,,392-AL MAHBRAH5564-S03571-Helvin45714, Raffle box for Qatar charity donation SPAR Tawar Mall,500,,,,,,,,,,,
393,,5565,Margins,MTS-2025-0117,Helvin,14/04/2025,,Helvin,,393-Margins5565-MTS-2025-0117-Helvin45761,Printing of Roll-up SPAR Ice Cream,,,,,190,190,,,,,,
394,,5566,Margins,MTS-2025-0167,Helvin,03/06/2025,,Helvin,,394-Margins5566-MTS-2025-0167-Helvin45811,Printing of Coupons for Eid Al-Adha,390,390,,,,,,,,,,
395,,5567,Perfect Media,54876,Helvin,05/05/2025,,Helvin,,395-Perfect Media5567-54876-Helvin45782,Preinting Flyers A4 size - Printing Tag Price A4,1700,1700,,,,,,,,,,
396,,5568,al sharq ,37458,Helvin,30/10/2024,,Helvin,,396-al sharq 5568-37458-Helvin45595,Visit SPAR International to SPAR Qatar,,,,,,,,,2500,,,
397,,5569,Margins,MTS-2025-0179,Helvin,06/17/2025,,Helvin,,397-Margins5569-MTS-2025-0179-Helvin06/17/2025,Banners and branding stickers,4880,,,,,,,,,,,
398,,5570,CITY MEDIA ,QT 0237,Helvin,06/18/2025,,Helvin,,398-CITY MEDIA 5570-QT 0237-Helvin06/18/2025,Super Tuesday branding ,1015,,,,,,,,,,,
399,,5571,CITY MEDIA ,QT 0238,Helvin,06/18/2025,,Helvin,,399-CITY MEDIA 5571-QT 0238-Helvin06/18/2025,"Hanging signage, display and branding ",625,,,,,,,,,,,
400,,5572,CITY MEDIA ,Qt 0229,Helvin,06/04/2025,,Helvin,,400-CITY MEDIA 5572-Qt 0229-Helvin45753,,4687,,,,,,,,,,,
401,,5645,Business Class,QT 99825,Helvin,30/04/2025,,Helvin,,401-Business Class5645-QT 99825-Helvin45777,Advertising services for social media platforms,2500,,,,,,,,,,,
402,,5646,CITY MEDIA ,QT 0243,Helvin,07/08/2025,,Helvin,,402-CITY MEDIA 5646-QT 0243-Helvin45876,Wrapping veggetable basket and printed frosting on glass wall,1400,,,,1250,,,,,,,
403,,5647,Perfect Media,Q251009,Helvin,17/07/2025,,Helvin,,403-Perfect Media5647-251009-Helvin45855,P105 flyer A4 tag price,1300,,,,,,,,,,,
404,,5648,CITY MEDIA ,QT 0234,Helvin,07/02/2025,,Helvin,,404-CITY MEDIA 5648-QT 0234-Helvin45695,Printed frosting on glass wall for logo,,,,,,,,,,,,
405,,5649,BRQIA INTERNET SERVICES,BRQ000022072025,Helvin,22/07/2025,,Helvin,,405-BRQIA INTERNET SERVICES5649-BRQ000022072025-Helvin45860,Business SMS services,,,,,,,,,4000,,,
406,,5650,Margins,MTS-2025-0229,Helvin,24/08/2025,,Helvin,,406-Margins5650-MTS-2025-0229-Helvin45893,Stickers for Back to School ,750,,,,,,,,,,,
407,,5651,Margins,MTS-2025-0237,Helvin,08/25/2025,,Helvin,,407-Margins5651-MTS-2025-0237-Helvin08/25/2025,Material art matt and printing ,,,,,,,,,1550,,,
408,,5652,Margins,MTS-2025-0254,Helvin,09/04/2025,,Helvin,,408-Margins5652-MTS-2025-0254-Helvin45756,spar trolley Sticker with matt Lamination print & cut with installation,1600,,,,,,,,,,,
409,,5653,Margins,MTS-2025-0271,Helvin,14/09/2025,,Helvin,,409-Margins5653-MTS-2025-0271-Helvin45914,stickers,,,,,1600,,,,,,,
410,,5654,Perfect Media,Q251349,Helvin,21/09/2025,,Helvin,,410-Perfect Media5654-Q251349-Helvin45921,Preinting Flyers A4 size - Printing Tag Price A4,1300,,,,,,,,1800,,,
411,,5757,Perfect Media,QT-251450,Helvin,01/10/2025,,Helvin,,411-Perfect Media5757-QT-251450-Helvin45931,Preinting Flyers A4 size,,,,,,,,,1800,,,
412,,5758,Perfect Media,QT-251400,Helvin,07/10/2025,,Helvin,,412-Perfect Media5758-QT-251400-Helvin45937,Printing Label Sticker Roll ,,,,,,,,,4800,,,
413,,5759,Perfect Media,QT-251451,Helvin,08/10/2025,,Helvin,,413-Perfect Media5759-QT-251451-Helvin45938,Printing SPAR DOOR HANGER-(Sparoo Express Delivery),,,,,,,,,5000,,,
414,,5760,CITY MEDIA ,QT 0309,Helvin,16/10/2025,,Helvin,,414-CITY MEDIA 5760-QT 0309-Helvin45946,Super Tuesday branding ,1000,905,,,,,,,,,,
415,,5761,CITY MEDIA ,QT 0310,Helvin,16/10/2025,,Helvin,,415-CITY MEDIA 5761-QT 0310-Helvin45946,Branding Podium 5-10-15 Tawar mall,700,,,,,,,,,,,
416,,5803,Margins,MTS-2025-0350Rev.1,Helvin,27/10/2025,,Helvin,,416-Margins5803-MTS-2025-0350Rev.1-Helvin45957, RollUp ice cream-fast track Sticker - pizza sticker - Special Offer Dangelrs,630,720,,,,,,,,,,
417,,5804,Perfect Media,Q251575,Helvin,28/10/2025,,Helvin,,417-Perfect Media5804-Q251575-Helvin45958,Preinting Flyers A4 size - Printing Door Hanger,,1500,,,,,,,1800,,,
418,,5805,BRQIA INTERNET SERVICES,BRQ000030102025,Helvin,30/10/2025,,Helvin,,418-BRQIA INTERNET SERVICES5805-BRQ000030102025-Helvin45960,BUSINESS SMS SERVICE,,,,,,,,,4000,,,
419,,5806,BRQIA INTERNET SERVICES,BRQ000018112025,Helvin,18/11/2025,,Helvin,,419-BRQIA INTERNET SERVICES5806-BRQ000018112025-Helvin45979,BUSINESS SMS SERVICE,,,,,,,,,4000,,,
420,,5807,Perfect Media,Q251629,Helvin,09/11/2025,,Helvin,,420-Perfect Media5807-Q251629-Helvin45970,Printing  A4 tag price + Anniversary 8 tag price A4,,,,,,,,,2680,,,
421,,5840,HAMAT Almaali,10750,Helvin,03/11/2025,,Helvin,,421-HAMAT Almaali5840-10750-Helvin45964,Recording 10 videos for the competition,,,,,,,,,8500,,,
422,,5841,SPOT Media ,74990/118,Helvin,16/11/2025,,Helvin,,422-SPOT Media 5841-74990/118-Helvin45977,SPIN & WIN WHEEL,1950,,,,,,,,,,,HAMAT Almaali
423,,5842,Margins,MTS-2025-0349,Helvin,27/10/2025,,Helvin,,423-Margins5842-MTS-2025-0349-Helvin45957,Printing of Business cards,,,,,,,,2700,,,,
424,,5843,Margins,MTS-2025-0464,Helvin,23/11/2025,,Helvin,,424-Margins5843-MTS-2025-0464-Helvin45984,rollup signs and stickers ,,2732,,,,,,,,,,
